bucket_max,ingot_sem,ingot_sum,bucket_kurt,mould_ptp,oil_pressure_min,ingot_ptp,mould_max,bucket_sem,bucket_min,mould_sum,ingot_mode,bucket_skew,bucket_var,ingot_var,ingot_min,bucket_sum,mould_sem,ingot_iqr,ingot_kurt,ingot_skew,mould_iqr,ingot_std,bucket_iqr,mould_kurt,oil_pressure_kurt,mould_min,bucket_ptp,ingot_mean,ingot_median,mould_skew,oil_pressure_skew,oil_pressure_sum,bucket_mode,ingot_max,bucket_std,mould_var,mould_std,final label
0.30039528,-0.285572,-0.96408576,-0.2821549,-0.20429425,0.09140317,-0.82229453,-0.50845647,0.043925565,0.3769721,-0.39445668,-0.11923462,0.07580636,-0.08491762,-0.32397717,0.17319885,-0.03941085,-0.13834977,-0.30694562,0.17352314,-0.6209479,-0.09140976,-0.49532345,-0.07287283,-0.41657674,2.3829558,-0.44528663,-0.09433366,-0.42733738,-0.40183744,-0.4209859,-1.8772533,-0.11645174,0.5586744,-0.7001667,0.011730501,-0.094831705,-0.13657533,0
0.2033664,-0.18147561,-0.53087455,-0.01354321,0.19615635,0.28272125,-0.030609269,1.0067792,-0.06227035,0.22636734,1.2026914,-0.7295991,-0.29322374,-0.076773465,-0.2645006,0.20694523,0.6384458,-0.10158824,-0.28989825,0.07876934,-0.5435138,-0.0801595,-0.18612868,-0.06284119,0.8935956,2.9093893,0.9526396,-0.0060911146,0.37782222,0.36864746,0.19470114,-2.2043393,0.68616176,0.5168958,0.17924033,0.042911015,-0.093838416,-0.08633787,0
0.5091654,-0.3325701,-0.48735592,0.15595491,-0.17764659,0.22690637,-1.1888157,-0.3795497,-0.053435143,0.604134,-0.23801692,0.40777096,-0.5440635,-0.10379493,-0.3306131,1.5398611,0.1977818,-0.13034926,-0.12625879,-1.1384716,1.0787058,-0.081069835,-0.5527298,-0.24428542,-0.40602505,-0.59007955,-0.3238336,-0.090129875,0.446251,0.40024137,-0.36095747,1.3545462,0.034000367,0.7931461,0.30811748,-0.06322085,-0.094674475,-0.12680183,0
0.41633713,-0.36363018,0.63568807,-0.020657776,-0.18034779,0.10864498,-1.1596291,-0.40529796,-0.0057569025,0.49861878,-0.3767348,0.80800706,-0.29056644,-0.10107835,-0.33214456,1.5913138,-0.035557408,-0.12184262,-0.13678466,-1.1340009,1.0968956,-0.06368582,-0.56798595,-0.16499093,-0.42500716,2.4171495,-0.3489855,-0.08296735,0.53788906,0.48960608,-0.45898467,-1.9588826,-0.17438865,0.004807103,0.39194974,-0.05218852,-0.09456425,-0.12052096,0
-0.07878575,0.28134105,0.20965575,0.18277429,0.039010957,0.21575259,1.852438,0.8081197,-0.68412477,0.21980475,1.1258919,-2.2577896,-0.37464106,-0.21573107,1.2325162,-1.5912328,0.55899674,-0.0057641575,-0.3543625,-0.9274005,2.0709162,0.07298284,1.9433461,-0.14501783,-0.44061878,-0.72212183,0.804989,-0.61361474,-2.5153184,-2.6083744,-0.64478606,0.7809075,0.7058701,0.22903445,0.34746858,-0.6380835,-0.0900438,0.023993801,1
0.021437118,0.9258446,0.6854232,0.17905174,-0.17470852,0.6297541,2.0071743,0.67752606,-0.6268595,0.34629095,0.5794949,-2.2514987,-0.46200812,-0.21475494,4.6548395,-1.5891954,0.12976004,-0.1422656,6.2372084,-1.1760626,0.9652795,-0.092076056,4.085672,-0.30447385,-0.32407883,-0.72127014,0.74552053,-0.64652,-0.2924078,0.60890734,-0.033235747,0.76215625,0.35247803,0.2759875,0.5146828,-0.63134044,-0.094849885,-0.13778049,1
0.06116551,-0.34722072,1.0793198,-0.37680975,-0.023000883,-0.17702915,-0.6021136,1.2173666,-0.06770291,0.09982115,1.5756857,0.6572014,0.2335652,-0.06976201,-0.3225997,0.9397068,0.70273906,-0.1300319,-0.112143174,-0.5643823,0.4502758,-0.083815314,-0.48471445,0.1084211,0.08172661,-0.5013615,1.2404892,-0.065407224,0.41132644,0.37693834,-0.10189877,0.1372705,0.62419325,-0.32354861,0.31968087,0.069244936,-0.09448999,-0.11650411,1
0.088751644,-0.35101524,1.3106985,-0.28385448,-0.04001853,0.21199419,-0.8786867,0.9191025,-0.21684615,0.22332731,1.2711867,0.6500539,0.058016557,-0.11493815,-0.32264775,1.1257879,0.6831652,-0.06972828,-0.077845335,-1.0761985,1.0196084,-0.046680905,-0.48507848,-0.09773904,-0.26926884,-0.6747211,0.94427294,-0.25212714,0.32268175,0.2863763,0.41497615,0.75670743,0.7347357,0.37668568,0.21507573,-0.10941843,-0.09276456,-0.0477883,1
-4.1877437,-0.42757887,-0.7913163,-0.6792317,-0.24306932,-5.8867264,-1.562042,-1.5067046,-1.3844604,-3.7198284,-1.6328173,-2.255562,2.1991596,-0.27473173,-0.34338585,-1.5928952,-2.4194498,-0.13802427,-0.35818118,-1.1437131,1.3155493,-0.10103099,-0.7870004,-0.41408488,-0.39943612,-0.6648033,-1.442872,-1.7606632,-2.7756248,-2.612399,0.010644499,0.7999157,-2.9236326,-3.834877,-3.2980187,-1.4264147,-0.09505941,-0.15321831,1
0.13026841,-0.18383528,0.32800928,-0.23246397,-0.17705913,-0.012282916,0.9320749,-1.9168117,-0.08414622,0.2625714,-1.1396476,0.6764246,-0.027976915,-0.09880224,-0.2122848,-0.71571445,0.27039224,-0.13949353,-0.19363594,0.6599965,-0.8949392,-0.0883927,-0.008680187,-0.056337886,-0.36781257,0.21440668,-1.8806055,-0.23941375,0.38519704,0.3721068,-0.5799369,0.09377259,0.21269812,-0.2149488,0.2618002,-0.043011308,-0.094780155,-0.13324982,0
